GEOCODIGO;UF_05;REGIAO;UFs
12;AC;Norte;Acre
27;AL;Nordeste;Alagoas
13;AM;Norte;Amazonas
16;AP;Norte;Amapá
29;BA;Nordeste;Bahia
23;CE;Nordeste;Ceará
53;DF;Centro-Oeste;Distrito Federal
32;ES;Sudeste;Espírito Santo
52;GO;Centro-Oeste;Goiás
21;MA;Nordeste;Maranhão
31;MG;Sudeste;Minas Gerais
50;MS;Centro-Oeste;Mato Grosso do Sul
51;MT;Centro-Oeste;Mato Grosso
15;PA;Norte;Pará
25;PB;Nordeste;Paraíba
26;PE;Nordeste;Pernambuco
22;PI;Nordeste;Piauí
41;PR;Sul;Paraná
33;RJ;Sudeste;Rio de Janeiro
24;RN;Nordeste;Rio Grande do Norte
11;RO;Norte;Rondônia
14;RR;Norte;Roraima
43;RS;Sul;Rio Grande do Sul
42;SC;Sul;Santa Catarina
28;SE;Nordeste;Sergipe
35;SP;Sudeste;São Paulo
17;TO;Norte;Tocantins
